timestamp,session_id,filename,file_type,model_prediction,true_label,is_correct,error_type
2025-07-02T08:27:17.911232,938fcf02-57b6-4bda-ab8e-45ae95013b96,WhatsApp Image 2025-04-12 at 13.10.58.jpeg,image,AI-Generated,,False,_predicted_as_unknown
2025-07-02T08:35:39.353624,d363446e-0b5c-42b9-a9b9-d88baf88cef2,afrocaribbean2_-34.jpg,image,Likely Human-Created,human_created,True,
2025-07-02T08:36:08.942898,ea34890b-8da5-4bfa-afcd-b1cca40e325b,404fc3c1-a91c-4156-b8dc-163cd2f02c18.png,image,Likely AI-Generated,ai_generated,True,
2025-07-02T08:37:14.118053,9cb2d7b1-0f3d-499d-9e0e-5bde58d6e6d0,direct_text_input,text,Likely AI-Generated,ai_generated,True,
2025-07-02T08:38:57.815423,8df7f4cc-a446-4312-af26-24461aed6ef2,direct_text_input,text,Needs Manual Review,ai_generated,False,ai_generated_predicted_as_unsure
2025-07-02T08:53:09.832858,2a163808-18e3-4362-8f3b-fd48cbd25d36,"ChatGPT Image Jul 2, 2025, 03_35_34 AM.png",image,🧠 Likely Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T08:54:49.261428,76b0d4b1-b596-4f47-8758-1a74cf5d4676,"ChatGPT Image Jul 2, 2025, 03_35_34 AM.png",image,⚠️ Possibly AI-Generated,ai_generated,True,
2025-07-02T09:06:55.836963,c951cce3-9f37-4879-b992-f6f226619322,"ChatGPT Image Jun 28, 2025, 06_59_24 PM.png",image,🤖 Likely AI-Generated,ai_generated,True,
2025-07-02T09:07:08.419147,aa293df0-d244-483b-b409-74305cefdaa8,6d8d7a3a-0f90-4e42-ad39-3774d54c27bd.png,image,🤔 Unsure – Needs a Closer Look,ai_generated,False,ai_generated_predicted_as_unsure
2025-07-02T09:07:25.195731,d5beb98b-3c50-4835-a0e1-8a23fcef946a,2025-06-07 21.46.20.jpg,image,⚠️ Possibly AI-Generated,ai_generated,True,
2025-07-02T09:19:45.740363,4b9524a9-b05d-42b1-84cd-13f81ac0fc13,$10 ENTRY.png,image,⚠️ Possibly AI-Generated,human_created,False,human_created_predicted_as_ai_generated
2025-07-02T09:20:49.222096,e91d8cd9-352d-44ed-8dab-306396c41b72,brianna-23.jpg,image,🧠 Likely Human,human_created,True,
2025-07-02T09:44:48.898370,deaabb78-18ae-4c53-90ee-db0d4e57b917,af005353-84e3-4cf5-8ab6-2e1a2ee6fd0a.png,image,✅ Almost Certainly Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T10:28:43.186830,41cd3d77-e70a-40b3-afc9-328c5f7c55ca,1000116377.jpg,image,✅ Almost Certainly Human,human_created,True,
2025-07-02T10:38:15.292560,c8fc8def-7b01-4a04-9b9f-e863dbe696da,$10 ENTRY.png,image,⚠️ Possibly AI-Generated,ai_generated,True,
2025-07-02T10:38:39.248094,285ca6e6-8c5b-4b12-bccf-6d78954fffe5,2025-05-28 17.03.52.jpg,image,✅ Almost Certainly Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T10:47:47.269515,d8bf9f90-f9ef-44fc-b880-bfc55a8b8b7a,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,✅ Almost Certainly Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T11:12:10.240948,b951ece1-60bf-47db-9dc7-6fc3e7b8cb69,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,✅ Almost Certainly Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T11:14:09.480495,1a82e016-3ab5-40eb-98fa-d0bb9f8f1a7d,6cd8e9c9-a552-497f-b205-ad909d28e08d.png,image,✅ Almost Certainly Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T12:10:24.016039,72bab9c0-5fc8-4985-a0c8-7d38d27f0247,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,🧠 Likely Human,ai_generated,False,ai_generated_predicted_as_human_created
2025-07-02T12:10:41.910862,a7e8696e-a5e2-45dd-a3a6-05051a4ef257,WhatsApp Image 2025-07-02 at 06.31.03 (1).jpeg,image,🧠 Likely Human,human_created,True,
2025-07-02T12:16:11.265819,931f59b4-2311-4557-b0ba-f6cf6c3a35c7,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,🤔 Unsure – Needs a Closer Look,ai_generated,False,ai_generated_predicted_as_unsure
2025-07-02T12:16:35.521998,94f7f7aa-9a11-472d-a79d-5a548f1bfdf5,WhatsApp Image 2025-07-02 at 06.31.03 (1).jpeg,image,🧠 Likely Human,human_created,True,
2025-07-02T12:20:46.770607,809ca7e6-6505-46f5-bef2-7297bf57f579,WhatsApp Image 2025-07-02 at 06.31.03 (1).jpeg,image,⚠️ Possibly AI-Generated,human_created,False,human_created_predicted_as_ai_generated
2025-07-02T12:21:27.200848,a943cfa7-d295-496a-ab1a-604629f8c6af,WhatsApp Image 2025-07-02 at 06.31.03.jpeg,image,⚠️ Possibly AI-Generated,ai_generated,True,
